"id";"steam_image_api";"appid";"game_name";"release_date";"developer";"publisher";"price";"uploaded_game_image"
1814;"https://cdn.cloudflare.steamstatic.com/steam/apps/242700/header.jpg?";242700;"Injustice: Gods Among Us Ultimate Edition";"2013-11-29";"NetherRealm Studios;High Voltage Software";"Warner Bros. Interactive Entertainment";14.99;"/placeholder.png"
1815;"https://cdn.cloudflare.steamstatic.com/steam/apps/242720/header.jpg?";242720;"GunZ 2: The Second Duel";"2014-05-01";"Masangsoft, Inc.";"Masangsoft, Inc.";0.0;"/placeholder.png"
1816;"https://cdn.cloudflare.steamstatic.com/steam/apps/242760/header.jpg?";242760;"The Forest";"2018-04-30";"Endnight Games Ltd";"Endnight Games Ltd";15.49;"/placeholder.png"
1817;"https://cdn.cloudflare.steamstatic.com/steam/apps/242780/header.jpg?";242780;"Cognition: An Erica Reed Thriller";"2013-09-19";"Phoenix Online Studios";"Phoenix Online Publishing";10.99;"/placeholder.png"
1818;"https://cdn.cloudflare.steamstatic.com/steam/apps/242820/header.jpg?";242820;"140";"2013-10-16";"Carlsen Games";"Carlsen Games";3.99;"/placeholder.png"
1819;"https://cdn.cloudflare.steamstatic.com/steam/apps/242840/header.jpg?";242840;"In Verbis Virtus";"2015-04-03";"Indomitus Games";"Indomitus Games";14.99;"/placeholder.png"
1820;"https://cdn.cloudflare.steamstatic.com/steam/apps/242860/header.jpg?";242860;"Verdun";"2015-04-28";"M2H;Blackmill Games";"M2H";15.49;"/placeholder.png"
1821;"https://cdn.cloudflare.steamstatic.com/steam/apps/242880/header.jpg?";242880;"Sir, You Are Being Hunted";"2014-05-02";"Big Robot Ltd";"Big Robot Ltd";14.99;"/placeholder.png"
1822;"https://cdn.cloudflare.steamstatic.com/steam/apps/242920/header.jpg?";242920;"Banished";"2014-02-18";"Shining Rock Software LLC";"Shining Rock Software LLC";14.99;"/placeholder.png"
1823;"https://cdn.cloudflare.steamstatic.com/steam/apps/243000/header.jpg?";243000;"Omikron: The Nomad Soul";"2013-09-26";"Quantic Dream";"Square Enix";6.99;"/placeholder.png"
1824;"https://cdn.cloudflare.steamstatic.com/steam/apps/243120/header.jpg?";243120;"Betrayer";"2014-03-24";"Blackpowder Games";"Blackpowder Games";3.99;"/placeholder.png"
1825;"https://cdn.cloudflare.steamstatic.com/steam/apps/243160/header.jpg?";243160;"Mushroom 11";"2015-10-15";"Untame";"Untame";10.99;"/placeholder.png"
1826;"https://cdn.cloudflare.steamstatic.com/steam/apps/243200/header.jpg?";243200;"Memoria";"2013-08-29";"Daedalic Entertainment";"Daedalic Entertainment";26.99;"/placeholder.png"
1827;"https://cdn.cloudflare.steamstatic.com/steam/apps/243220/header.jpg?";243220;"FRACT OSC";"2014-04-22";"Phosfiend Systems";"Phosfiend Systems";10.99;"/placeholder.png"
1828;"https://cdn.cloudflare.steamstatic.com/steam/apps/243280/header.jpg?";243280;"Poöf";"2013-11-08";"Arkedo";"Neko Entertainment";4.99;"/placeholder.png"
1829;"https://cdn.cloudflare.steamstatic.com/steam/apps/243360/header.jpg?";243360;"TrackMania² Valley";"2013-07-04";"Nadeo";"Ubisoft";16.99;"/placeholder.png"
1830;"https://cdn.cloudflare.steamstatic.com/steam/apps/243450/header.jpg?";243450;"Urban Trial Freestyle";"2013-09-18";"Tate Multimedia";"Tate Multimedia";4.99;"/placeholder.png"
1831;"https://cdn.cloudflare.steamstatic.com/steam/apps/243470/header.jpg?";243470;"Watch_Dogs™";"2014-05-26";"Ubisoft";"Ubisoft";25.99;"/placeholder.png"
1832;"https://cdn.cloudflare.steamstatic.com/steam/apps/243780/header.jpg?";243780;"PixelJunk™ Monsters Ultimate";"2013-08-26";"Double Eleven;Q-Games Ltd.";"Double Eleven";6.99;"/placeholder.png"
